"Exception occurred while sending mail.$$$Couldn't connect to host, port: localhost, 25; timeout -1",MailStats,LoggingFunctions,06-02-2015 23:55:12
"Error occurred while reading Submission Id: 1
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:05
"Error occurred while reading Submission Id: 2
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:05
"Error occurred while reading Submission Id: 3
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:05
"Error occurred while reading Submission Id: 4
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:05
"Error occurred while reading Submission Id: 5
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:05
"Error occurred while reading Submission Id: 6
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:05
"Error occurred while reading Submission Id: 7
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:05
"Error occurred while reading Submission Id: 8
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:05
"Error occurred while reading Submission Id: 9
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:05
"Error occurred while reading Submission Id: 10
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:05
"Error occurred while reading Submission Id: 1
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 2
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 3
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 4
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 14
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 15
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 16
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 17
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 18
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 19
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 20
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 5
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 6
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 7
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 8
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 9
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 10
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 11
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 12
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 13
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 1
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:05
"Error occurred while reading Submission Id: 2
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:05
"Error occurred while reading Submission Id: 3
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:05
"Error occurred while reading Submission Id: 4
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:05
"Error occurred while reading Submission Id: 14
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:05
"Error occurred while reading Submission Id: 15
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:05
"Error occurred while reading Submission Id: 16
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:05
"Error occurred while reading Submission Id: 17
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:05
"Error occurred while reading Submission Id: 18
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:05
"Error occurred while reading Submission Id: 19
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:05
"Error occurred while reading Submission Id: 20
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 21
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 22
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 23
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 24
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 25
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 26
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 27
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 28
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 29
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 30
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 5
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 6
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
